TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Coase,3,Big_Coal,1,ALAMITOS_7,12,3,73.72,73.72,73.72,73.72
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,3,40.50,40.50,40.50,40.50
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_5,14,3,66.50,66.50,66.50,66.50
Coase,3,Big_Coal,1,REDONDO_5-6,15,3,42.38,42.30,41.94,42.00
Coase,3,Big_Coal,1,REDONDO_7-8,16,3,42.38,42.30,41.94,42.00
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,3,41.21,40.94,40.94,40.94
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,3,36.61,36.61,36.61,36.61
Debreu,4,East_Bay,5,PITTSBURG_7,53,3,59.72,59.72,59.72,59.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,3,58.28,58.28,59.71,58.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,3,39.50,39.50,39.50,39.50
Debreu,4,East_Bay,5,POTRERO_HILL,56,3,69.83,69.83,69.83,69.83
Friedman,5,Low_Fossil,7,HUMBOLDT,71,3,47.44,47.44,47.44,47.44
Friedman,5,Low_Fossil,7,HELMS,72,3,0.50,0.50,0.50,0.50
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,3,49.17,49.17,49.17,49.17
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,3,75.89,75.89,75.89,75.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,3,11.50,11.50,11.50,11.50
Heckman,6,Beachfront,4,COOLWATER,41,3,43.81,43.81,42.39,42.66
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,3,43.82,43.82,42.67,43.82
Heckman,6,Beachfront,4,ETIWANDA_5,43,3,62.89,62.89,62.89,62.89
Heckman,6,Beachfront,4,ELLWOOD,44,3,75.61,75.61,75.61,75.61
Heckman,6,Beachfront,4,MANDALAY_1-2,45,3,39.06,39.06,39.06,39.06
Heckman,6,Beachfront,4,MANDALAY_3,46,3,52.06,52.06,52.49,52.06
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,3,38.06,38.06,38.06,38.06
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,3,38.06,38.06,38.06,38.06
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,3,38.78,38.78,52.05,43.80
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,3,36.61,36.61,36.61,36.61
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,3,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,3,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,OAKLAND,35,3,61.17,61.17,61.17,61.17
Arrow,1,Old_Timers,6,BIG_CREEK,61,2,0.00,0.00,0.00,0.00
Arrow,1,Old_Timers,6,MOHAVE_1,62,2,34.50,34.50,34.50,34.50
Arrow,1,Old_Timers,6,MOHAVE_2,63,2,34.50,34.50,34.50,34.50
Arrow,1,Old_Timers,6,HIGHGROVE,64,2,49.61,49.61,49.61,49.61
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,2,53.94,53.94,53.94,53.94
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,2,44.83,44.83,60.00,44.83
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,2,41.22,41.22,41.22,41.22
Becker,2,Big_Gas,2,LONG_BEACH,23,2,52.50,52.50,60.00,52.50
Becker,2,Big_Gas,2,NORTH_ISLAND,24,2,65.50,65.50,65.50,65.50
Becker,2,Big_Gas,2,ENCINA,25,2,41.67,41.67,41.67,41.67
Becker,2,Big_Gas,2,KEARNY,26,2,90.06,90.06,90.06,90.06
Becker,2,Big_Gas,2,SOUTH_BAY,27,2,43.83,43.83,59.71,43.83
Coase,3,Big_Coal,1,Four Corners,11,2,36.50,36.50,36.50,36.50
Coase,3,Big_Coal,1,ALAMITOS_7,12,2,73.72,73.72,73.72,73.72
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,40.50,40.50,40.50,40.50
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,66.50,66.50,66.50,66.50
Coase,3,Big_Coal,1,REDONDO_5-6,15,2,40.94,41.67,41.94,41.60
Coase,3,Big_Coal,1,REDONDO_7-8,16,2,40.94,41.66,41.94,41.60
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,2,41.21,40.94,40.94,40.94
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Debreu,4,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,59.71,58.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,2,39.50,39.50,39.50,39.50
Debreu,4,East_Bay,5,POTRERO_HILL,56,2,69.83,69.83,69.83,69.83
Friedman,5,Low_Fossil,7,HUMBOLDT,71,2,47.44,47.44,47.44,47.44
Friedman,5,Low_Fossil,7,HELMS,72,2,0.50,0.50,0.50,0.50
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,2,49.17,49.17,49.17,49.17
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,2,75.89,75.89,75.89,75.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,2,11.50,11.50,11.50,11.50
Heckman,6,Beachfront,4,COOLWATER,41,2,43.82,43.82,43.82,43.82
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,2,44.82,44.82,44.82,44.82
Heckman,6,Beachfront,4,ETIWANDA_5,43,2,65.49,65.49,65.49,65.49
Heckman,6,Beachfront,4,ELLWOOD,44,2,75.88,75.88,75.88,75.88
Heckman,6,Beachfront,4,MANDALAY_1-2,45,2,40.00,39.49,39.49,39.49
Heckman,6,Beachfront,4,MANDALAY_3,46,2,52.49,52.49,52.49,52.49
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,2,38.77,38.77,38.77,38.77
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,2,38.77,38.77,38.77,38.77
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,2,38.78,38.78,59.71,38.78
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,2,36.61,36.61,36.61,36.61
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,2,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,2,32.56,32.56,32.56,32.56
Krugman,7,Bay_Views,3,OAKLAND,35,2,61.17,61.17,61.17,61.17
Arrow,1,Old_Timers,6,BIG_CREEK,61,1,36.50,40.50,42.38,41.93
Arrow,1,Old_Timers,6,MOHAVE_1,62,1,36.60,41.50,43.82,41.93
Arrow,1,Old_Timers,6,MOHAVE_2,63,1,36.60,41.50,43.82,41.93
Arrow,1,Old_Timers,6,HIGHGROVE,64,1,49.61,49.61,49.61,49.61
Arrow,1,Old_Timers,6,SAN_BERNARDINO,65,1,53.94,53.94,53.94,53.94
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,1,46.83,49.83,49.83,47.83
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,1,43.22,46.22,46.22,44.22
Becker,2,Big_Gas,2,LONG_BEACH,23,1,54.50,57.50,57.50,55.50
Becker,2,Big_Gas,2,NORTH_ISLAND,24,1,67.50,70.50,70.50,68.50
Becker,2,Big_Gas,2,ENCINA,25,1,43.67,46.67,46.67,44.67
Becker,2,Big_Gas,2,KEARNY,26,1,92.06,95.06,95.06,93.06
Becker,2,Big_Gas,2,SOUTH_BAY,27,1,45.83,48.83,48.83,46.83
Coase,3,Big_Coal,1,Four Corners,11,1,36.50,42.00,43.00,41.50
Coase,3,Big_Coal,1,ALAMITOS_7,12,1,73.72,73.72,73.72,73.72
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,40.50,42.00,44.00,41.50
Coase,3,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,66.50,66.50,66.50,66.50
Coase,3,Big_Coal,1,REDONDO_5-6,15,1,41.94,42.00,44.00,42.00
Coase,3,Big_Coal,1,REDONDO_7-8,16,1,41.94,42.00,44.00,42.00
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,1,40.94,42.65,43.81,41.92
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,1,38.76,42.65,43.81,41.92
Debreu,4,East_Bay,5,PITTSBURG_7,53,1,59.72,59.72,59.72,59.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,1,58.28,58.28,58.28,58.28
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,1,39.50,42.65,43.81,41.92
Debreu,4,East_Bay,5,POTRERO_HILL,56,1,69.83,69.83,69.83,69.83
Friedman,5,Low_Fossil,7,HUMBOLDT,71,1,47.44,47.44,47.44,47.44
Friedman,5,Low_Fossil,7,HELMS,72,1,38.06,41.94,42.67,41.94
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,49.17,49.17,49.17,49.17
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,1,75.89,75.89,75.89,75.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,1,38.06,41.94,42.67,41.94
Heckman,6,Beachfront,4,COOLWATER,41,1,43.82,43.82,43.82,43.82
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,1,44.82,44.82,44.82,44.82
Heckman,6,Beachfront,4,ETIWANDA_5,43,1,65.49,65.49,65.49,65.49
Heckman,6,Beachfront,4,ELLWOOD,44,1,75.88,75.88,75.88,75.88
Heckman,6,Beachfront,4,MANDALAY_1-2,45,1,40.00,39.49,39.49,39.49
Heckman,6,Beachfront,4,MANDALAY_3,46,1,52.49,52.49,52.49,52.49
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,1,38.77,38.77,38.77,38.77
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,1,38.77,38.77,38.77,38.77
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,1,39.05,43.82,52.49,42.38
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,1,39.05,43.82,52.05,42.38
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,1,39.05,43.82,52.05,42.38
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,1,39.05,43.82,52.05,42.38
Krugman,7,Bay_Views,3,OAKLAND,35,1,62.00,62.00,62.00,62.00
